epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1824.37,1.27775,0.98811,1.28552,0.96286,0.96933,0.97652,0.71164,1.44265,1.07942,1.31244,0.000455045,0.000455045,0.000455045
29,1890.05,1.26517,0.99602,1.27526,0.96544,0.9816,0.98333,0.74329,1.38695,1.04795,1.27874,0.00045338,0.00045338,0.00045338
30,1955.74,1.27683,0.97185,1.2573,0.9695,0.97492,0.98695,0.73652,1.35548,1.02654,1.26938,0.000451715,0.000451715,0.000451715
31,2021.69,1.25386,0.96672,1.25282,0.9842,0.9816,0.98572,0.73534,1.34478,1.03778,1.25887,0.00045005,0.00045005,0.00045005
32,2087.29,1.2457,0.97724,1.25739,0.99078,0.9816,0.98484,0.7349,1.3401,0.97303,1.25201,0.000448385,0.000448385,0.000448385
33,2161.13,1.2432,0.96754,1.25938,0.97764,0.96319,0.98297,0.73455,1.42633,1.09427,1.28729,0.00044672,0.00044672,0.00044672
34,2228.85,1.21593,0.95067,1.24504,0.98029,0.9816,0.97958,0.73612,1.37845,1.01367,1.26869,0.000445055,0.000445055,0.000445055
35,2297.03,1.20844,0.90663,1.25418,0.97404,0.9816,0.97455,0.73342,1.34155,1.04569,1.25199,0.00044339,0.00044339,0.00044339
36,2364.59,1.18821,0.89935,1.25009,0.97528,0.96832,0.97817,0.7059,1.49287,1.19072,1.30441,0.000441725,0.000441725,0.000441725
37,2430.6,1.21891,0.95855,1.22324,0.9922,0.96319,0.98389,0.75188,1.30443,1.02594,1.24473,0.00044006,0.00044006,0.00044006
38,2491.68,1.18832,0.93541,1.25094,0.98643,0.9816,0.98661,0.73197,1.44272,1.01595,1.28961,0.000438395,0.000438395,0.000438395
39,2551.63,1.16408,0.89582,1.21337,0.98763,0.97984,0.9863,0.76315,1.27016,0.94097,1.22878,0.00043673,0.00043673,0.00043673
40,2612.72,1.13814,0.85493,1.21149,0.98765,0.98138,0.98584,0.73235,1.39587,0.96928,1.27307,0.000435065,0.000435065,0.000435065
41,2673.99,1.15782,0.87568,1.20441,0.98089,0.9816,0.98504,0.72383,1.43267,0.99208,1.28728,0.0004334,0.0004334,0.0004334
42,2734.76,1.24949,0.91495,1.22557,0.98147,0.9747,0.98628,0.75791,1.30127,0.97033,1.24633,0.000431735,0.000431735,0.000431735
43,2800.95,1.16033,0.88742,1.23734,0.96843,0.97546,0.98465,0.69353,1.5236,1.0614,1.3164,0.00043007,0.00043007,0.00043007
44,2866.3,1.1583,0.881,1.22201,0.99243,0.95706,0.9839,0.75849,1.23501,0.964,1.23248,0.000428405,0.000428405,0.000428405
45,2931.82,1.19377,0.89969,1.23638,0.95084,0.9816,0.98284,0.70422,1.48751,1.06519,1.29942,0.00042674,0.00042674,0.00042674
46,2997.17,1.09964,0.85203,1.21272,0.96027,0.97546,0.97106,0.74818,1.2862,1.00013,1.24816,0.000425075,0.000425075,0.000425075
47,3062.64,1.1655,0.8689,1.21366,0.96907,0.97546,0.98293,0.7374,1.37147,1.0252,1.28253,0.00042341,0.00042341,0.00042341
48,3127.68,1.17431,0.88724,1.21441,0.98756,0.9739,0.9838,0.75981,1.30733,0.99933,1.25824,0.000421745,0.000421745,0.000421745
49,3192.59,1.14129,0.87547,1.20381,0.97696,0.97546,0.98127,0.75203,1.28781,0.94636,1.2425,0.00042008,0.00042008,0.00042008
50,3262.24,1.1527,0.8746,1.22446,0.98842,0.96933,0.98503,0.72356,1.41953,1.00174,1.28578,0.000418415,0.000418415,0.000418415
51,3331.52,1.08292,0.8231,1.20521,0.97951,0.95706,0.97529,0.74386,1.30061,1.0193,1.25267,0.00041675,0.00041675,0.00041675
52,3401.38,1.08392,0.83118,1.18837,0.96318,0.96281,0.97717,0.70026,1.51505,1.08898,1.31963,0.000415085,0.000415085,0.000415085
53,3473.51,1.09741,0.83467,1.21837,0.96986,0.96933,0.97818,0.73834,1.36268,0.99052,1.2663,0.00041342,0.00041342,0.00041342
54,3549.48,1.13594,0.83688,1.19418,0.97531,0.9816,0.98059,0.74077,1.33186,0.95832,1.25807,0.000411755,0.000411755,0.000411755
55,3625.21,1.07611,0.83115,1.19473,0.97552,0.97798,0.98351,0.74753,1.32595,0.97969,1.26843,0.00041009,0.00041009,0.00041009
56,3700.89,1.08684,0.84505,1.17574,0.97857,0.97546,0.98482,0.76809,1.26093,0.91143,1.2366,0.000408425,0.000408425,0.000408425
57,3777.3,1.0899,0.83213,1.19994,0.9725,0.9816,0.98557,0.73686,1.39673,0.96499,1.26948,0.00040676,0.00040676,0.00040676
58,3852.19,1.09182,0.83842,1.19264,0.98763,0.97992,0.98664,0.77346,1.26593,0.86942,1.24145,0.000405095,0.000405095,0.000405095
59,3927.51,1.03422,0.80611,1.1919,0.98515,0.97546,0.98637,0.73164,1.44287,0.96057,1.29159,0.00040343,0.00040343,0.00040343
60,4003.12,1.09093,0.84349,1.20134,0.99373,0.97301,0.98649,0.75085,1.31067,0.90083,1.24059,0.000401765,0.000401765,0.000401765
61,4078.74,0.9967,0.78471,1.19178,0.9937,0.96827,0.98418,0.74583,1.33353,0.93391,1.26094,0.0004001,0.0004001,0.0004001
62,4153.44,1.04896,0.79972,1.17818,0.98142,0.9816,0.98446,0.72986,1.39704,0.94952,1.27689,0.000398435,0.000398435,0.000398435
63,4228.3,1.01936,0.78705,1.18421,0.98131,0.97546,0.98111,0.733,1.39432,0.95309,1.2719,0.00039677,0.00039677,0.00039677
64,4303.71,0.99804,0.76237,1.16662,0.98763,0.97963,0.98504,0.7653,1.28073,0.88529,1.23298,0.000395105,0.000395105,0.000395105
65,4378.63,1.04231,0.76849,1.19029,0.98764,0.98034,0.98818,0.73046,1.41475,0.94363,1.2808,0.00039344,0.00039344,0.00039344
66,4452.61,1.01997,0.78726,1.1969,0.98764,0.98049,0.98663,0.75424,1.27742,0.88744,1.2517,0.000391775,0.000391775,0.000391775
67,4524.77,1.01282,0.78291,1.16858,0.99379,0.98116,0.98468,0.73912,1.35684,0.92546,1.26582,0.00039011,0.00039011,0.00039011
68,4596.48,1.05057,0.76926,1.19438,0.99379,0.98147,0.98468,0.75456,1.27934,0.88373,1.24128,0.000388445,0.000388445,0.000388445
69,4666.52,1.0189,0.78649,1.19188,0.99353,0.9816,0.98605,0.72603,1.40652,0.91723,1.28481,0.00038678,0.00038678,0.00038678
70,4736.68,1.05585,0.80146,1.18806,0.99379,0.98129,0.98502,0.76187,1.28464,0.88306,1.24265,0.000385115,0.000385115,0.000385115
71,4811.58,0.98361,0.7503,1.15487,0.9873,0.9816,0.98418,0.7574,1.28414,0.84479,1.24232,0.00038345,0.00038345,0.00038345
72,4886.29,1.03539,0.76873,1.15529,0.98688,0.9816,0.98399,0.7501,1.30355,0.84658,1.24037,0.000381785,0.000381785,0.000381785
73,4961.16,1.00757,0.73496,1.15259,0.9924,0.97546,0.98397,0.77396,1.19528,0.85113,1.20722,0.00038012,0.00038012,0.00038012
74,5036.18,0.99401,0.74335,1.18025,0.98026,0.9816,0.98416,0.71301,1.47366,0.95356,1.29189,0.000378455,0.000378455,0.000378455
75,5110.62,1.05881,0.80239,1.16513,0.97915,0.9816,0.98447,0.7727,1.24033,0.85489,1.22764,0.00037679,0.00037679,0.00037679
76,5185.44,0.97941,0.74776,1.16903,0.99375,0.97523,0.9853,0.74605,1.37201,0.87961,1.27172,0.000375125,0.000375125,0.000375125
